"","County","Reporting_Date","Total","UNA","DEM","REP","Total_Third_Party","GRE","LIB","RFP","CON","NAT","CNV","SSP","Monthly_Change","Percent_Monthly_Change","Cumulative_Change","Percent_Cumulative_Change"
"1","ATLANTIC",2015-12-31,164989,76963,47829,40074,123,30,79,1,5,0,8,0,19,0.0115159192431011,19,0.0115172455597988
"2","ATLANTIC",2016-01-31,165038,77125,47746,40043,124,29,80,1,5,0,9,0,49,0.029690131969607,68,0.0412196156877008
"3","ATLANTIC",2016-03-02,165576,77568,47804,40085,119,28,79,1,4,0,7,0,538,0.324926317823839,606,0.367339516275686
"4","ATLANTIC",2016-03-31,166067,77889,47895,40161,122,29,79,1,4,1,8,0,491,0.295663798346451,1097,0.664969388373644
"5","ATLANTIC",2016-04-30,167004,77944,48530,40354,176,37,80,1,10,10,28,10,937,0.561064405642979,2034,1.2329514457174
"6","ATLANTIC",2016-05-31,168756,78457,49312,40737,250,45,99,4,22,14,45,21,1752,1.03818530896679,3786,2.29496272049464
"7","ATLANTIC",2016-06-30,169377,78355,49753,40983,286,49,105,4,26,22,51,29,621,0.366637737118971,4407,2.67139479905437
"8","ATLANTIC",2016-08-05,169940,76327,51468,41814,331,58,112,4,36,30,61,30,563,0.331293397669766,4970,3.01266897011578
"9","ATLANTIC",2016-08-31,170416,72593,54474,42979,370,63,121,5,44,32,72,33,476,0.279316496103652,5446,3.30120627992968
"10","ATLANTIC",2016-10-05,171624,71375,55992,43812,445,75,138,7,58,42,83,42,1208,0.703864261408661,6654,4.03346062920531
"11","ATLANTIC",2016-11-07,175765,73947,56878,44357,583,92,166,10,90,52,114,59,4141,2.35598668676927,10795,6.5436139904225
"12","ATLANTIC",2016-11-30,176135,74160,56990,44383,602,94,170,11,94,53,120,60,370,0.210066142447554,11165,6.76789719342911
"13","BERGEN",2015-12-31,545105,271668,165371,107597,469,132,220,5,14,13,84,1,768,0.140890287192376,768,0.141089067985458
"14","BERGEN",2016-01-31,546316,272900,165334,107610,472,135,219,5,13,13,86,1,1211,0.221666581246019,1979,0.363561543676068
"15","BERGEN",2016-03-02,548500,274618,165671,107726,485,137,219,5,13,15,95,1,2184,0.398176845943482,4163,0.764783580759713
"16","BERGEN",2016-03-31,552018,275437,167100,108864,617,153,257,7,17,26,141,16,3518,0.63729805912126,7681,1.41107438957851
